time, alt, vknot, gvw, DYNANG, Nmr, Ntr, Nt, N1, N2, N3, Qmr, Qtr, Q1, Q2, Q3, qgas1, qgas2, qgas3, qtotload, qmrload, qtrload
0.516, 3000, 0.01, 46000, 70, 14386.8, 14359.2, 14357.6, 14357.3, 14357.3, 14357.3, 3586.71, 341.226, 1304.73, 1304.79, 1304.73, 1330.27, 1330.27, 1330.27, 3719.88, 3407.02, 312.862,
0.522, 3000, 0.01, 46000, 70, 14387.8, 14361.7, 14359, 14358.7, 14358.7, 14358.7, 3581.99, 340.562, 1303.19, 1303.21, 1303.19, 1330.27, 1330.27, 1330.27, 3719.58, 3406.77, 312.807,
0.528, 3000, 0.01, 46000, 70, 14388.8, 14364, 14360.4, 14360.1, 14360.1, 14360.1, 3577.34, 339.601, 1301.61, 1301.6, 1301.61, 1330.27, 1330.27, 1330.27, 3719.29, 3406.53, 312.755,
0.534, 3000, 0.01, 46000, 70, 14389.7, 14366.2, 14362, 14361.6, 14361.6, 14361.6, 3572.77, 338.401, 1300.03, 1299.98, 1300.03, 1330.27, 1330.27, 1330.27, 3719, 3406.3, 312.704,
0.54, 3000, 0.01, 46000, 70, 14390.7, 14368.2, 14363.6, 14363.2, 14363.2, 14363.2, 3568.3, 337.028, 1298.45, 1298.38, 1298.45, 1330.27, 1330.27, 1330.27, 3718.73, 3406.07, 312.656,
0.546, 3000, 0.01, 46000, 70, 14391.6, 14370.2, 14365.2, 14364.9, 14364.9, 14364.9, 3563.94, 335.55, 1296.91, 1296.83, 1296.91, 1330.27, 1330.27, 1330.27, 3718.46, 3405.85, 312.611,
0.552, 3000, 0.01, 46000, 70, 14392.5, 14371.9, 14367, 14366.7, 14366.7, 14366.7, 3559.72, 334.038, 1295.42, 1295.36, 1295.42, 1330.27, 1330.27, 1330.27, 3718.2, 3405.63, 312.57,
0.558, 3000, 0.01, 46000, 70, 14393.4, 14373.5, 14368.8, 14368.5, 14368.5, 14368.5, 3555.65, 332.561, 1294.02, 1293.99, 1294.02, 1330.27, 1330.27, 1330.27, 3717.95, 3405.42, 312.532,
0.564, 3000, 0.01, 46000, 70, 14394.2, 14375, 14370.7, 14370.4, 14370.5, 14370.4, 3551.73, 331.185, 1292.72, 1292.73, 1292.72, 1330.27, 1330.27, 1330.27, 3717.71, 3405.21, 312.497,
0.57, 3000, 0.01, 46000, 70, 14395, 14376.3, 14372.6, 14372.4, 14372.4, 14372.4, 3548, 329.97, 1291.54, 1291.59, 1291.54, 1330.27, 1330.27, 1330.27, 3717.48, 3405.01, 312.466,
